listing_id,title,company,location,rating,pay_low,pay_median,pay_high,pay_currency,easy_apply,industry,company_size,job_source,description,link
1009940180247,Senior Consultant AI & Data Engineering (m/w/d),Deloitte,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-ai-data-engineering-mwd-deloitte-JV_IC2622109_KO0,41_KE42,50.htm?jl=1009940180247"
1009940180466,Senior Consultant AI & Data Architecture (m/w/d),Deloitte,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-ai-data-architecture-mwd-deloitte-JV_IC2622109_KO0,42_KE43,51.htm?jl=1009940180466"
1010124193088,"Tech Lead, Android Core Product - Berlin, Germany",Speechify,Deutschland,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/tech-lead-android-core-product-berlin-germany-speechify-JV_KO0,45_KE46,55.htm?jl=1010124193088"
1010038038468,Principal AI/ML Scientist & Engineer,Pipedrive,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/principal-ai-ml-scientist-engineer-pipedrive-JV_IC2622109_KO0,34_KE35,44.htm?jl=1010038038468"
1009970760861,(Senior) Manager - AI Security (w/m/d),KPMG,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-manager-ai-security-wmd-kpmg-JV_IC2622109_KO0,30_KE31,35.htm?jl=1009970760861"
1009799043508,Senior Full‑Stack Engineer (m/f/d),Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-full-stack-engineer-mfd-axel-springer-JV_IC2622109_KO0,30_KE31,44.htm?jl=1009799043508"
1010032979163,Team Lead (f/m/d) Data Science,PAIR Finance GmbH,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/team-lead-fmd-data-science-pair-finance-JV_IC2622109_KO0,26_KE27,39.htm?jl=1010032979163"
1009951130008,Bachelor- und Masterarbeiten sowie Praktikumsplätze,Leibniz-Institut für Kristallzüchtung,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/bachelor-und-masterarbeiten-sowie-praktikumsplätze-institut-für-kristallzüchtung-JV_IC2622109_KO0,50_KE51,80.htm?jl=1009951130008"
1010125466092,Bid Management Analyst (all genders),Accenture,Deutschland,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/bid-management-analyst-all-genders-accenture-JV_KO0,34_KE35,44.htm?jl=1010125466092"
1010086556376,Director of R&D Portfolio and Operations Management,Pipedrive,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/director-of-rd-portfolio-and-operations-management-pipedrive-JV_IC2622109_KO0,50_KE51,60.htm?jl=1010086556376"
1010016405957,Post-doctoral Researcher (m/f/d),Leibniz-Institut für Kristallzüchtung,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/post-doctoral-researcher-mfd-institut-für-kristallzüchtung-JV_IC2622109_KO0,28_KE29,58.htm?jl=1010016405957"
1009923710052,Full Stack AI Engineer,Xsolla,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/full-stack-ai-engineer-xsolla-JV_IC2622109_KO0,22_KE23,29.htm?jl=1009923710052"
1010055193766,Analytics Implementation Specialist (fixed-term contract),Lovehoney Group,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/analytics-implementation-specialist-fixed-term-contract-lovehoney-group-JV_IC2622109_KO0,55_KE56,71.htm?jl=1010055193766"
1010112099023,Legal Engineer – Product (Berlin/Leipzig),Legartis Technology AG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/legal-engineer-product-berlin-leipzig-legartis-JV_IC2622109_KO0,37_KE38,46.htm?jl=1010112099023"
1009940180344,Senior Consultant Cloud Data Engineering / Azure / GCP (m/w/d),Deloitte,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-consultant-cloud-data-engineering-azure-gcp-mwd-deloitte-JV_IC2622109_KO0,54_KE55,63.htm?jl=1009940180344"
